numberofprocesses,size,zeros,multiplications,CSR construction,Broadcast time,Compute time (CSR),Total time (CSR),Total time (Dense)
22,100,60,15,0.000194,0.021669,0.020036,0.041900,0.007781
22,100,80,5,0.000351,0.021299,0.005252,0.026903,0.002785
22,100,80,10,0.000355,0.020677,0.008858,0.029891,0.005191
22,100,80,15,0.000350,0.020831,0.019135,0.040317,0.007566
22,1000,20,5,0.012253,0.106438,0.042042,0.160748,0.006673
22,1000,20,10,0.012168,0.108272,0.054932,0.175374,0.013753
22,1000,20,15,0.012226,0.100757,0.069224,0.182209,0.023885
22,1000,40,5,0.015864,0.091039,0.048942,0.155848,0.009909
22,1000,40,10,0.016157,0.089631,0.054095,0.159885,0.013520
22,1000,40,15,0.015980,0.081598,0.061292,0.158873,0.020036
22,1000,60,5,0.015437,0.076641,0.047141,0.139220,0.006948
22,1000,60,10,0.015613,0.069203,0.059776,0.144594,0.013019
22,1000,60,15,0.015773,0.077689,0.057904,0.151369,0.020547
22,1000,80,5,0.009897,0.066726,0.040487,0.117112,0.006750
22,1000,80,10,0.009486,0.069161,0.044786,0.123435,0.013787
22,1000,80,15,0.009323,0.070913,0.058367,0.138605,0.020897
22,10000,20,5,1.250382,15.528851,0.159408,16.938649,0.129986
22,10000,20,10,1.272315,14.879375,0.275044,16.426743,0.200507
22,10000,20,15,1.252217,19.625162,0.350933,21.228322,0.300578
22,10000,40,5,1.651136,12.796014,0.123678,14.570838,0.098790
22,10000,40,10,1.642842,13.409252,0.225556,15.277664,0.194948
22,10000,40,15,1.652800,11.725485,0.287047,13.665341,0.291365
22,10000,60,5,1.568619,10.514538,0.105709,12.188874,0.098438
22,10000,60,10,1.574225,9.643433,0.180232,11.397900,0.199052
22,10000,60,15,1.588771,12.967269,0.242806,14.798856,0.297571
22,10000,80,5,0.947571,14.521247,0.093552,15.562381,0.098828
22,10000,80,10,0.937665,7.460905,0.127710,8.526289,0.199355
22,10000,80,15,0.960512,8.632945,0.207297,9.800762,0.297229
32,10,20,5,0.000002,0.036727,0.043141,0.079870,0.011432
32,10,20,10,0.000002,0.022007,0.067729,0.089739,0.005679
32,10,20,15,0.000002,0.079325,0.009676,0.089004,0.008727
32,10,40,5,0.000002,0.011191,0.033486,0.044679,0.002848
32,10,40,10,0.000002,0.051913,0.035277,0.087192,0.005603
32,10,40,15,0.000002,0.010831,0.082947,0.093781,0.011786
32,10,60,5,0.000002,0.020548,0.070928,0.091478,0.002878
32,10,60,10,0.000002,0.011115,0.036742,0.047859,0.005554
32,10,60,15,0.000002,0.001132,0.229281,0.230415,0.048675
32,10,80,5,0.000001,0.010683,0.034447,0.045132,0.002924
32,10,80,10,0.000002,0.011077,0.036610,0.047689,0.005511
32,10,80,15,0.000001,0.020618,0.039449,0.060068,0.008394
32,100,20,5,0.000138,0.030286,0.033372,0.063797,0.004128
32,100,20,10,0.000122,0.030334,0.028423,0.058879,0.010373
32,100,20,15,0.000129,0.030445,0.084162,0.114737,0.049135
32,100,40,5,0.000169,0.030679,0.032767,0.063615,0.005113
32,100,40,10,0.000167,0.030799,0.034881,0.065848,0.010359
32,100,40,15,0.000172,0.020636,0.048635,0.069444,0.018926
32,100,60,5,0.000157,0.030639,0.027307,0.058105,0.004140
32,100,60,10,0.000157,0.030491,0.024756,0.055404,0.010372
32,100,60,15,0.000157,0.030779,0.069140,0.100077,0.015517
32,100,80,5,0.000177,0.020840,0.025331,0.046348,0.004248
32,100,80,10,0.000113,0.074236,0.092355,0.166706,0.016796
32,100,80,15,0.000094,0.030942,0.074117,0.105153,0.030697
32,1000,20,5,0.012757,0.098215,0.988441,1.099415,0.015977
32,1000,20,10,0.012730,0.109687,0.934677,1.057097,0.031795
32,1000,20,15,0.012742,0.106216,0.951421,1.070381,0.046945
32,1000,40,5,0.016488,0.097123,0.788635,0.902249,0.015382
32,1000,40,10,0.016638,0.095233,0.789086,0.900959,0.037807
32,1000,40,15,0.016647,0.094610,1.724981,1.836241,0.223777
32,1000,60,5,0.016586,0.069949,1.159987,1.246524,0.047151
32,1000,60,10,0.015849,0.063725,0.957520,1.037096,0.305426
32,1000,60,15,0.015896,0.069711,0.948837,1.034446,0.045917
32,1000,80,5,0.009398,0.059329,0.829970,0.898699,0.077267
32,1000,80,10,0.021154,0.066650,1.130557,1.218363,0.192523
32,1000,80,15,0.009361,0.071169,1.065902,1.146434,0.291231
32,10000,20,5,1.254707,168.414605,2.525616,172.194938,0.188190
32,10000,20,10,1.251804,116.921515,1.171192,119.344524,0.332009
32,10000,20,15,1.252277,116.462905,1.360734,119.075933,0.497020
32,10000,40,5,1.788180,93.864337,0.985603,96.638132,0.176285
32,10000,40,10,1.639259,84.666063,0.954128,87.259462,0.331786
32,10000,40,15,1.636827,85.007676,1.203612,87.848125,0.898330
32,10000,60,5,1.573836,90.015262,0.943617,92.532724,0.170213
32,10000,60,10,1.573084,78.559918,1.120669,81.253680,0.354303
32,10000,60,15,1.570842,79.184714,1.341902,82.097467,0.550341
32,10000,80,5,0.937467,67.685341,1.166923,69.789741,0.189994
32,10000,80,10,0.941779,61.139922,0.936373,63.018086,0.343306
32,10000,80,15,0.937979,94.496364,2.454734,97.889089,0.712394
42,10,20,5,0.000002,0.011022,0.059182,0.070205,0.012798
42,10,20,10,0.000002,0.010862,0.058548,0.069411,0.033445
42,10,20,15,0.000002,0.010634,0.051575,0.062211,0.049500
42,10,40,5,0.000002,0.010643,0.062071,0.072716,0.002617
42,10,40,10,0.000002,0.020527,0.109385,0.129916,0.008508
42,10,40,15,0.000002,0.010970,0.087139,0.098111,0.039848
42,10,60,5,0.000002,0.047896,0.060267,0.108165,0.017446
42,10,60,10,0.000002,0.001155,0.046489,0.047646,0.043278
42,10,60,15,0.000002,0.021690,0.108617,0.130325,0.023311
42,10,80,5,0.000002,0.010678,0.059288,0.069967,0.027260
42,10,80,10,0.000002,0.010716,0.045331,0.056049,0.028310
42,10,80,15,0.000002,0.010939,0.065772,0.076713,0.041110
42,100,20,5,0.000133,0.020237,0.058445,0.078816,0.009978
42,100,20,10,0.000130,0.020366,0.063389,0.083885,0.048862
42,100,20,15,0.000126,0.020142,0.076453,0.096721,0.051495
42,100,40,5,0.000169,0.020666,0.049071,0.069907,0.028278
42,100,40,10,0.000164,0.020891,0.035751,0.056807,0.010321
42,100,40,15,0.000167,0.020863,0.041152,0.062184,0.018624
42,100,60,5,0.000169,0.020298,0.044614,0.065081,0.018710
42,100,60,10,0.000161,0.020828,0.033286,0.054276,0.010405
42,100,60,15,0.000159,0.020870,0.038552,0.059581,0.015513
42,100,80,5,0.000097,0.020944,0.027308,0.048349,0.005244
42,100,80,10,0.000155,0.020695,0.032478,0.053328,0.010339
42,100,80,15,0.000096,0.021036,0.037455,0.058588,0.014491
42,1000,20,5,0.012432,0.089126,0.966931,1.068492,0.015240
42,1000,20,10,0.012473,0.098090,1.035336,1.145902,0.078675
42,1000,20,15,0.012456,0.087912,0.974813,1.075183,0.072440
42,1000,40,5,0.016249,0.084831,0.994231,1.095312,0.017372
42,1000,40,10,0.016457,0.084076,0.837873,0.938408,0.030586
42,1000,40,15,0.016318,0.074483,0.830758,0.921561,0.050714
42,1000,60,5,0.015772,0.058133,0.673961,0.747868,0.015779
42,1000,60,10,0.015768,0.064913,0.693714,0.774397,0.032453
42,1000,60,15,0.015733,0.071650,0.681243,0.768628,0.046259
42,1000,80,5,0.009310,0.050292,0.650330,0.709934,0.015125
42,1000,80,10,0.009376,0.045705,0.566135,0.621217,0.039353
42,1000,80,15,0.009378,0.055056,0.622561,0.686996,0.071465
42,10000,20,5,1.244965,146.846767,1.162235,149.253977,0.952283
42,10000,20,10,1.246300,139.329467,4.852476,145.428252,0.424774
42,10000,20,15,1.252254,112.650694,1.087620,114.990577,0.458853
42,10000,40,5,1.634284,83.963427,0.774868,86.372590,0.156684
42,10000,40,10,1.636945,88.982556,0.938108,91.557623,0.309720
42,10000,40,15,1.634518,84.588293,1.100820,87.323640,0.479624
42,10000,60,5,1.573221,71.071431,0.774660,73.419322,0.159964
42,10000,60,10,1.572071,77.881340,1.084279,80.537703,0.314900
42,10000,60,15,1.572306,73.056324,1.253889,75.882528,0.476159
42,10000,80,5,0.938550,50.808166,0.749677,52.496404,0.151092
42,10000,80,10,0.940033,53.728134,0.881120,55.549301,0.308875
42,10000,80,15,0.938710,62.239716,1.198844,64.377278,0.470715
52,10,20,5,0.000002,0.010526,0.048477,0.059005,0.002609
52,10,20,10,0.000002,0.010629,0.037217,0.047849,0.005501
52,10,20,15,0.000002,0.001162,0.048975,0.050138,0.008215
52,10,40,5,0.000014,0.021166,0.077442,0.098622,0.002591
52,10,40,10,0.000002,0.020377,0.027160,0.047539,0.005533
52,10,40,15,0.000002,0.001244,0.049737,0.050983,0.008325
52,10,60,5,0.000002,0.027919,0.052760,0.080681,0.002887
52,10,60,10,0.000002,0.010688,0.037789,0.048480,0.005766
52,10,60,15,0.000002,0.010402,0.030469,0.040873,0.008001
52,10,80,5,0.000002,0.001185,0.044154,0.045341,0.002855
52,10,80,10,0.000002,0.010966,0.036494,0.047462,0.005557
52,10,80,15,0.000001,0.010551,0.040396,0.050948,0.009058
